ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,5200,77,0,0,4000,70,1.3,1.3,1.1,1.1
1,1,6760,85,0,0,,,,,,
1,2,8788,93,0,0,,,,,,
1,3,11424,102,0,0,,,,,,
2,1,8788,93,0,0,,,,,,
2,2,11424,102,0,0,,,,,,
2,3,14852,113,0,0,,,,,,
2,4,19307,124,0,0,,,,,,
3,1,11424,102,0,0,,,,,,
3,2,14852,113,0,0,,,,,,
3,3,19307,124,0,0,,,,,,
3,4,25099,136,0,0,,,,,,
4,1,14852,113,0,0,,,,,,
4,2,19307,124,0,0,,,,,,
4,3,25099,136,0,0,,,,,,
4,4,32629,150,0,0,,,,,,
4,5,42418,165,0,0,,,,,,
5,1,19307,124,0,0,,,,,,
5,2,25099,136,0,0,,,,,,
5,3,32629,150,0,0,,,,,,
5,4,42418,165,0,0,,,,,,
5,5,55143,182,0,0,,,,,,
