ChapterId,LevelId,MaxHp,AttackPower,AttackSpeed,MoveSpeed,BaseHp,BaseAttack,BloodChapterMul,BloodFloorMul,AttackChapterMul,AttackFloorMul
0,1,325,83,0,0,250,75,1.3,1.3,1.1,1.1
1,1,423,35,0,0,,,,,,
1,2,500,35,0,0,,,,,,
1,3,550,35,0,0,,,,,,
2,1,549,100,0,0,,,,,,
2,2,714,110,0,0,,,,,,
2,3,928,121,0,0,,,,,,
2,4,1207,133,0,0,,,,,,
3,1,714,110,0,0,,,,,,
3,2,928,121,0,0,,,,,,
3,3,1207,133,0,0,,,,,,
3,4,1569,146,0,0,,,,,,
4,1,928,121,0,0,,,,,,
4,2,1207,133,0,0,,,,,,
4,3,1569,146,0,0,,,,,,
4,4,2039,161,0,0,,,,,,
4,5,2651,177,0,0,,,,,,
5,1,1207,133,0,0,,,,,,
5,2,1569,146,0,0,,,,,,
5,3,2039,161,0,0,,,,,,
5,4,2651,177,0,0,,,,,,
5,5,3446,195,0,0,,,,,,
